"","carat","cut","color","clarity","depth","table","price","x","y","z"
"357",0.73,"Premium","E","VS2",62,60,2902,5.76,5.73,3.56
"358",0.7,"Very Good","J","VVS1",63.3,55,2042,5.63,5.68,3.58
"359",1.5,"Premium","H","IF",63,59,13107,7.3,7.23,4.58
"360",1.53,"Ideal","H","SI2",61.2,56,9562,7.46,7.43,4.56
"361",0.39,"Ideal","D","VVS2",61.8,57,1232,4.67,4.71,2.9
"362",2.01,"Very Good","G","SI1",63.2,56,16742,8.04,7.96,5.06
"363",0.31,"Ideal","F","VVS2",62.2,53,706,4.37,4.41,2.73
"364",0.32,"Very Good","H","VS1",63,57,561,4.37,4.39,2.76
"365",1.33,"Premium","G","SI2",60.3,58,6685,7.19,7.16,4.33
"366",1.35,"Premium","H","VS2",61.5,58,8062,7.15,7.09,4.38
"367",0.42,"Very Good","E","SI1",60,61,743,4.85,4.88,2.92
"368",0.94,"Premium","D","VS1",62.3,58,5980,6.34,6.28,3.93
"369",0.92,"Premium","F","SI2",61.8,58,3787,6.23,6.19,3.84
"370",0.71,"Very Good","G","VS2",60.4,61,2492,5.77,5.81,3.5
"371",0.3,"Premium","D","VS2",61,60,710,4.29,4.33,2.63
"372",1.13,"Ideal","H","SI1",61.5,56,6075,6.69,6.71,4.12
"373",1.16,"Ideal","E","SI1",61.9,55,6755,6.74,6.79,4.19
"374",0.33,"Ideal","E","VS2",61.9,54,928,4.47,4.42,2.75
"375",1.03,"Very Good","D","SI2",61.3,61,4679,6.46,6.49,3.97
"376",0.36,"Premium","D","VS2",60.5,58,1094,4.63,4.6,2.79
"377",0.32,"Ideal","E","VVS1",62.2,55,827,4.37,4.41,2.73
"378",0.41,"Ideal","F","SI1",61.4,56,824,4.77,4.8,2.94
"379",0.4,"Ideal","G","VS2",62.9,56,1035,4.72,4.69,2.96
"380",0.32,"Ideal","E","IF",62.9,54,1018,4.37,4.41,2.76
"381",0.27,"Very Good","E","VVS1",60,58,544,4.21,4.22,2.53
"382",0.34,"Ideal","F","VS2",62.6,54,880,4.48,4.46,2.8
"383",1.01,"Premium","I","SI1",62.3,58,4355,6.44,6.4,4
"384",2.18,"Very Good","I","SI2",63.3,58,12220,8.22,8.18,5.19
"385",1,"Very Good","D","SI2",63.4,58,3304,6.33,6.3,4.01
"386",0.32,"Premium","D","SI1",60.8,58,756,4.44,4.41,2.69
"387",0.41,"Ideal","E","VVS1",61.3,55,1367,4.76,4.8,2.93
"388",0.4,"Very Good","D","SI1",63,57,720,4.66,4.7,2.95
"389",0.59,"Fair","F","VS2",64.4,56,2443,5.31,5.28,3.41
"390",1.03,"Fair","H","SI1",65.1,57,3617,6.43,6.36,4.16
"391",1.01,"Fair","F","VS2",69,61,6041,6.06,5.99,4.16
"392",1.5,"Ideal","I","VS2",62.4,54.1,9730,7.3,7.35,4.57
"393",0.51,"Very Good","F","VS2",58.6,58,1774,5.22,5.29,3.08
"394",0.6,"Ideal","D","SI1",61.4,55,2263,5.45,5.47,3.35
"395",0.51,"Premium","G","VS1",62.1,60,1656,5.1,5.11,3.17
"396",1.51,"Premium","G","SI2",60,60,6266,7.45,7.4,4.48
"397",0.53,"Ideal","H","SI2",61.6,54,1020,5.22,5.26,3.23
"398",0.58,"Ideal","H","SI1",60.2,57,1421,5.47,5.43,3.28
"399",1.01,"Premium","E","VS2",62.9,59,6606,6.36,6.3,3.98
"400",1.01,"Ideal","H","SI1",62.3,55,5029,6.46,6.45,4.02
"401",0.5,"Ideal","E","SI2",61.4,57,1240,5.14,5.09,3.14
"402",0.91,"Ideal","D","SI2",62.6,54,4067,6.22,6.25,3.9
"403",0.24,"Premium","G","VVS1",62.3,59,554,3.95,3.92,2.45
"404",0.9,"Very Good","D","IF",62.4,54,9182,6.17,6.21,3.86
"405",1.14,"Ideal","J","VS1",61.6,56,5339,6.71,6.73,4.14
"406",0.3,"Premium","F","VS2",62.5,58,776,4.32,4.29,2.69
"407",0.3,"Very Good","H","VVS1",61,55,631,4.35,4.39,2.66
"408",2.1,"Premium","J","VS2",61.3,59,14359,8.27,8.21,5.05
"409",0.9,"Very Good","I","VVS1",63.5,58,4161,6.06,6.09,3.86
"410",0.51,"Ideal","E","SI1",62.9,57,1624,5.1,5.09,3.2
"411",1.71,"Premium","J","VS2",60.3,61,8887,7.74,7.69,4.65
"412",0.52,"Very Good","G","SI1",60,57,1267,5.25,5.29,3.16
"413",2.21,"Very Good","F","SI2",61,58,18483,8.36,8.43,5.12
"414",2.01,"Premium","I","SI1",60.5,58,12829,8.2,8.06,4.92
"415",0.5,"Very Good","D","VS2",61.2,55,1682,5.07,5.12,3.12
"416",1.51,"Premium","G","VS2",62.7,58,12756,7.2,7.31,4.55
"417",0.73,"Very Good","F","SI1",63.5,56,2360,5.68,5.72,3.62
"418",1.01,"Very Good","G","VS1",63.2,58,6618,6.38,6.34,4.02
"419",0.4,"Ideal","I","VVS2",62,54,758,4.74,4.77,2.95
"420",0.32,"Very Good","I","SI1",61.6,61,421,4.36,4.4,2.7
"421",1.31,"Premium","J","VS2",62,59,6822,7.04,6.97,4.34
"422",0.51,"Very Good","G","VVS2",62.2,56,1762,5.1,5.13,3.18
"423",0.33,"Premium","I","VS2",60.6,58,463,4.44,4.47,2.7
"424",0.93,"Ideal","I","SI1",61.9,57,3359,6.23,6.21,3.85
"425",0.71,"Ideal","E","SI2",61.2,57,2398,5.74,5.82,3.54
"426",2.27,"Fair","G","I1",68.6,56,7131,7.99,7.94,5.47
"427",1.06,"Premium","H","SI1",61.6,59,4872,6.55,6.54,4.03
"428",0.64,"Ideal","H","IF",60.5,57,2420,5.58,5.62,3.39
"429",0.41,"Very Good","E","SI1",63.2,58,904,4.72,4.68,2.97
"430",0.9,"Ideal","D","SI1",62.5,57,4579,6.12,6.2,3.85
"431",0.52,"Ideal","D","VS1",61.3,56,2550,5.21,5.22,3.2
"432",0.71,"Very Good","D","VS2",59.7,55,3203,5.85,5.88,3.5
"433",1,"Good","F","SI1",64.9,57,4844,6.25,6.32,4.08
"434",1.09,"Premium","G","SI2",59,58,4456,6.78,6.72,3.98
"435",2.27,"Fair","J","I1",67.6,55,5733,8.05,8,5.43
"436",1.01,"Very Good","F","SI1",62.8,58,4759,6.35,6.43,4.01
"437",1.5,"Very Good","E","SI2",60.7,55,9900,7.39,7.44,4.5
"438",2.4,"Premium","J","SI1",59.7,58,16304,8.75,8.71,5.21
"439",1,"Very Good","F","IF",60.1,57,10346,6.45,6.52,3.9
"440",1.5,"Good","E","SI2",63.5,59,9281,7.25,7.28,4.61
"441",0.72,"Ideal","F","VS2",62,56,2943,5.77,5.75,3.57
"442",0.54,"Ideal","H","VS2",62.6,57,1389,5.24,5.2,3.27
"443",1,"Ideal","H","SI2",62.6,56,4256,6.38,6.34,3.98
"444",1.05,"Ideal","E","VS1",62.6,57,7762,6.5,6.44,4.05
"445",1.04,"Good","J","SI2",63.8,56,3204,6.36,6.32,4.05
"446",1.6,"Ideal","F","VS2",60.2,55.5,16240,7.6,7.66,4.59
"447",0.32,"Ideal","H","VS2",62.8,55,648,4.41,4.38,2.76
"448",0.81,"Ideal","E","SI2",62.1,55,3101,5.94,5.98,3.7
"449",1.12,"Ideal","F","VVS1",61,56,11403,6.71,6.74,4.1
"450",0.38,"Ideal","E","SI1",61.1,55,844,4.69,4.73,2.88
"451",0.31,"Very Good","E","SI1",63.1,54,698,4.34,4.31,2.73
"452",0.31,"Premium","H","VS2",61.9,58,628,4.39,4.37,2.71
"453",1.33,"Premium","G","VS1",62.7,58,9699,6.96,7.01,4.38
"454",1.01,"Premium","G","SI1",63,58,4525,6.35,6.29,3.98
"455",0.54,"Ideal","F","VS2",60.1,56,1786,5.31,5.28,3.18
"456",0.3,"Ideal","G","VS2",62.5,53,675,4.3,4.27,2.68
"457",0.74,"Ideal","E","VVS2",62.2,57,4082,5.78,5.83,3.61
"458",1.52,"Good","F","VS2",64.2,59,11696,7.16,7.2,4.61
"459",0.31,"Ideal","J","VS2",62.3,54,396,4.35,4.38,2.72
"460",1.03,"Ideal","G","SI1",60.1,59,5111,6.6,6.57,3.96
"461",1.31,"Good","H","SI2",64.1,57,5429,6.9,6.84,4.41
"462",1.21,"Premium","F","VS2",61.5,57,8877,6.81,6.74,4.17
"463",0.31,"Ideal","F","IF",62.3,57,1122,4.34,4.3,2.69
"464",0.33,"Very Good","I","SI1",61.4,58,445,4.46,4.5,2.75
"465",1.03,"Ideal","H","VVS2",62.2,55,6638,6.43,6.49,4.03
"466",0.52,"Premium","G","SI1",59.7,60,1306,5.22,5.2,3.11
"467",0.77,"Premium","F","VS2",62.4,59,3018,5.85,5.81,3.64
"468",1.04,"Very Good","D","SI2",63.1,58,3780,6.39,6.33,4.01
"469",1.13,"Premium","H","VS2",60.6,58,5885,6.81,6.72,4.1
"470",0.71,"Premium","H","VVS2",61.5,62,2863,5.74,5.68,3.51
"471",1.07,"Ideal","G","SI2",62,57,4401,6.58,6.55,4.07
"472",0.71,"Ideal","D","SI1",61.7,57,2863,5.75,5.7,3.53
"473",0.32,"Ideal","D","SI1",61.3,55,756,4.42,4.39,2.7
"474",0.31,"Ideal","D","VS2",62.1,54,734,4.34,4.36,2.7
"475",0.59,"Ideal","E","VVS1",62,56,2829,5.36,5.38,3.33
"476",1.21,"Ideal","H","VS2",63,57,6134,6.73,6.7,4.23
"477",1.01,"Very Good","H","VS2",63.3,58,4692,6.33,6.27,3.99
"478",2.05,"Very Good","I","SI2",59.8,56,12839,8.32,8.41,5
"479",1.02,"Premium","G","IF",61.8,59,8643,6.46,6.41,3.98
"480",1.35,"Premium","H","VS1",62.3,58,8543,7.1,7.05,4.41
"481",0.7,"Fair","G","I1",64.6,59,1115,5.64,5.48,3.6
"482",0.41,"Very Good","J","IF",63.5,54,1061,4.75,4.7,3
"483",0.52,"Ideal","D","SI2",61.7,55,1292,5.17,5.2,3.2
"484",0.4,"Premium","F","VS1",60.3,60,1050,4.81,4.77,2.89
"485",1.06,"Ideal","G","VS1",61.1,57,8285,6.54,6.61,4.02
"486",0.31,"Very Good","G","SI1",62.8,55,462,4.32,4.38,2.73
"487",1,"Premium","F","VVS2",61.9,61,7204,6.45,6.32,3.95
"488",1.24,"Premium","G","VVS2",59.9,60,10388,7,6.98,4.19
"489",0.9,"Ideal","G","VVS1",62.8,56,5978,6.12,6.18,3.86
"490",0.56,"Premium","G","VS1",61,60,1999,5.39,5.32,3.27
"491",1.02,"Very Good","F","SI1",62.5,57,4948,6.35,6.41,3.99
"492",1.29,"Good","J","VS2",58.2,61,5898,7.07,7.12,4.13
"493",0.53,"Ideal","G","IF",60.3,56,2293,5.29,5.33,3.2
"494",1.16,"Premium","F","SI2",61.2,61,4820,6.77,6.74,4.14
"495",0.7,"Very Good","F","VS2",61.6,60,2737,5.59,5.65,3.46
"496",0.39,"Ideal","D","VS1",61.8,57,979,4.68,4.7,2.9
"497",1,"Good","E","VVS1",64.1,62,7084,6.29,6.26,4.02
"498",1.01,"Premium","D","SI1",58.3,58,5305,6.65,6.59,3.86
"499",0.55,"Ideal","G","VVS1",61.2,56,2632,5.27,5.29,3.23
"500",0.4,"Premium","E","SI2",62.9,58,855,4.74,4.7,2.97
"501",1.29,"Premium","I","SI2",61.1,62,4291,7,6.94,4.26
"502",0.25,"Very Good","G","VS2",63,54,407,4.04,4.06,2.55
"503",0.23,"Very Good","F","VVS2",61.7,55,498,3.99,4.05,2.48
"504",0.3,"Ideal","F","VS2",62.3,58,569,4.26,4.23,2.64
"505",1.5,"Very Good","H","SI1",61,55,9987,7.35,7.44,4.51
"506",0.62,"Premium","E","VS1",62.2,58,2196,5.41,5.46,3.38
"507",1.23,"Ideal","I","VS1",61.5,56,6435,6.86,6.89,4.23
"508",2.03,"Ideal","G","SI1",60,55.8,18757,8.17,8.3,4.95
"509",0.3,"Ideal","H","IF",61.8,57,764,4.31,4.36,2.68
"510",0.42,"Premium","I","SI2",61.5,59,709,4.84,4.78,2.96
"511",0.37,"Ideal","D","VS2",62.3,55,763,4.59,4.62,2.87
"512",0.41,"Ideal","D","VS1",61.8,57,1230,4.8,4.75,2.95
"513",0.32,"Ideal","E","IF",60.6,60,1004,4.43,4.45,2.69
"514",0.4,"Ideal","F","VVS2",61.7,56,1163,4.74,4.72,2.92
"515",0.51,"Very Good","H","SI1",62,57,1170,5.11,5.19,3.19
"516",0.31,"Ideal","H","VS2",61.3,56,507,4.36,4.38,2.68
"517",0.53,"Ideal","D","VS2",61.5,56,1956,5.23,5.17,3.2
"518",0.9,"Premium","G","SI1",60.6,57,4455,6.28,6.2,3.78
"519",0.72,"Premium","G","VS2",62.9,57,2795,5.73,5.65,3.58
"520",0.64,"Very Good","E","VVS2",61.8,59,3541,5.51,5.53,3.41
"521",0.33,"Very Good","H","VVS2",61.6,56,614,4.44,4.47,2.74
"522",1.01,"Fair","J","VS2",59.6,62,3886,6.54,6.49,3.88
"523",1.35,"Premium","E","SI2",61.5,58,5758,7.11,7.06,4.36
"524",0.61,"Ideal","I","VVS1",62.5,54,1713,5.43,5.49,3.41
"525",0.85,"Fair","H","I1",61,61,1324,6.2,6,3.73
"526",1.01,"Ideal","G","SI2",61.7,56,4260,6.47,6.43,3.98
"527",1.2,"Good","D","SI2",63.7,52,6344,6.72,6.68,4.27
"528",0.4,"Ideal","G","VVS1",61.7,55,1097,4.75,4.78,2.94
"529",0.3,"Very Good","I","VS1",63,53,473,4.26,4.31,2.7
"530",0.31,"Very Good","E","VS1",61.9,56,636,4.32,4.37,2.69
"531",0.51,"Very Good","E","SI1",62.8,61,1343,5.06,5.07,3.18
"532",0.72,"Ideal","F","SI1",61.2,55,2737,5.78,5.82,3.55
"533",0.57,"Ideal","E","VS1",61.8,55,2192,5.34,5.39,3.32
"534",0.59,"Very Good","D","VS2",59.2,56,1986,5.47,5.54,3.26
"535",0.36,"Ideal","G","VS1",61.5,58,725,4.59,4.61,2.83
"536",0.73,"Premium","E","SI1",62.2,59,2821,5.77,5.68,3.56
"537",2.04,"Ideal","I","SI1",60,60,15308,8.3,8.26,4.97
"538",0.54,"Ideal","H","SI1",61,56,1154,5.24,5.28,3.21
"539",1.52,"Fair","F","SI2",56.3,64,8938,7.68,7.62,4.31
"540",1.26,"Very Good","F","IF",60,60,14095,7.04,7.09,4.24
"541",0.38,"Premium","D","VVS2",61.9,56,1257,4.65,4.63,2.87
"542",0.25,"Very Good","F","VVS2",62.4,55,633,4.03,4.06,2.52
"543",0.71,"Very Good","H","SI2",62.2,55.1,2339,5.7,5.72,3.55
"544",0.51,"Very Good","E","VVS2",60,58,2062,5.19,5.21,3.12
"545",0.38,"Premium","I","VS2",61.7,59,633,4.6,4.64,2.85
"546",1.12,"Ideal","G","VS2",62.2,54,7193,6.65,6.7,4.15
"547",0.57,"Premium","F","VS1",59.9,59,1689,5.35,5.4,3.22
"548",0.5,"Very Good","D","VS1",63.1,57,1715,5.04,5,3.17
"549",0.55,"Very Good","E","SI2",59.6,57,1145,5.34,5.39,3.2
"550",0.76,"Ideal","F","SI1",61.7,55,2682,5.87,5.9,3.63
"551",0.52,"Ideal","F","VS2",63,56,1605,5.16,5.1,3.23
"552",1.01,"Premium","F","SI2",61.8,56,4257,6.43,6.38,3.96
"553",1,"Good","H","VS2",63.6,61,4722,6.25,6.21,3.96
"554",1.14,"Good","I","VS1",63.3,56,5056,6.6,6.68,4.2
"555",0.58,"Ideal","I","VS2",61.8,55,1626,5.36,5.38,3.32
"556",0.24,"Premium","D","VS2",61.4,55,485,4.05,3.99,2.47
"557",0.41,"Ideal","F","VVS2",61.9,55,1115,4.74,4.79,2.95
"558",0.79,"Premium","E","VS2",59.4,60,3230,6.08,6.05,3.6
"559",1.01,"Good","F","SI1",63.8,59,4989,6.32,6.29,4.02
"560",0.3,"Ideal","H","VVS2",62.1,56,776,4.32,4.28,2.67
"561",0.51,"Premium","G","VS2",62.4,58,1546,5.12,5.11,3.19
"562",1.05,"Ideal","G","SI1",61.9,56,5361,6.51,6.55,4.04
"563",2.04,"Premium","J","VS1",62.6,58,14660,8.11,8.06,5.06
"564",0.33,"Ideal","G","VS2",62,57,579,4.44,4.47,2.76
"565",0.7,"Fair","E","SI1",66.7,59,2241,5.49,5.45,3.65
"566",0.4,"Ideal","D","VS2",61.5,55,1050,4.75,4.71,2.91
"567",0.77,"Very Good","J","VVS1",62.8,58,2532,5.78,5.84,3.65
"568",2.09,"Ideal","J","VS1",61.2,59,15172,8.31,8.22,5.06
"569",0.91,"Very Good","J","SI2",62.4,61,3169,6.13,6.2,3.85
"570",1.01,"Good","G","VVS2",63.2,59,7137,6.27,6.35,3.99
"571",0.31,"Ideal","G","SI2",60.5,57,523,4.4,4.36,2.65
"572",0.74,"Very Good","D","SI1",61.5,59,3138,5.76,5.82,3.56
"573",0.33,"Premium","D","SI1",60.4,60,608,4.41,4.46,2.68
"574",0.71,"Very Good","I","VS2",62.3,58,2052,5.68,5.72,3.55
"575",0.6,"Premium","D","SI2",61.3,61,1428,5.46,5.4,3.33
"576",0.62,"Premium","F","SI1",63,59,1777,5.43,5.39,3.41
"577",2.06,"Ideal","F","SI2",62.7,57,15970,8.19,8.09,5.1
"578",0.57,"Very Good","G","I1",59.5,56.9,929,5.42,5.46,3.24
"579",0.73,"Ideal","G","VS2",62.5,56,2586,5.78,5.74,3.6
"580",1.09,"Ideal","G","SI1",62.2,56,5022,6.6,6.55,4.09
"581",1.07,"Ideal","F","SI2",61.6,57,5405,6.56,6.53,4.03
"582",0.72,"Ideal","H","VS2",60.1,56,3122,5.85,5.88,3.52
"583",1.01,"Very Good","E","VVS2",61.7,60,9930,6.32,6.35,3.91
"584",1.5,"Premium","H","SI2",60.8,58,8148,7.39,7.34,4.48
"585",1.22,"Ideal","D","VS2",61.7,56,10538,6.89,6.86,4.24
"586",1.01,"Good","F","VVS2",63.6,60,6932,6.31,6.36,4.03
"587",0.53,"Ideal","G","VS1",62.4,54,1659,5.18,5.21,3.24
"588",0.54,"Very Good","E","VS2",62.6,60,1426,5.26,5.19,3.27
"589",0.3,"Ideal","H","SI1",62.4,53.7,442,4.29,4.31,2.68
"590",1.08,"Very Good","G","SI2",59.8,57,4241,6.66,6.72,4
"591",1.08,"Ideal","G","VS2",61.3,56,6706,6.62,6.59,4.05
"592",1.7,"Very Good","J","VS1",63.6,58,9683,7.52,7.54,4.79
"593",0.4,"Ideal","H","SI1",61.8,57,896,4.75,4.77,2.94
"594",1.56,"Premium","J","SI2",61.4,58,6306,7.38,7.43,4.55
"595",0.42,"Premium","H","VVS1",62,58,1068,4.79,4.82,2.98
"596",1.13,"Very Good","H","SI1",63.3,56,4689,6.65,6.62,4.2
"597",1.12,"Very Good","J","SI2",58.5,60,4066,6.83,6.89,4.01
"598",0.57,"Premium","E","SI2",61.2,57,1414,5.35,5.31,3.26
"599",0.74,"Premium","G","SI1",60.5,58,2553,5.93,5.88,3.57
"600",0.33,"Very Good","D","SI2",62.9,56,492,4.41,4.43,2.78
"601",0.51,"Ideal","H","SI2",62,55,1435,5.12,5.14,3.18
"602",1.08,"Very Good","E","SI1",63.1,59,5189,6.53,6.49,4.11
"603",0.85,"Ideal","H","SI2",61.8,54,2635,6.07,6.1,3.76
"604",1.01,"Very Good","E","SI2",61.8,56,4355,6.42,6.5,3.99
"605",0.35,"Ideal","D","SI1",61.5,56,780,4.54,4.57,2.8
"606",0.32,"Ideal","D","VS2",62.2,56,972,4.4,4.38,2.73
"607",2,"Premium","J","VS2",61.5,59,13675,8.11,8.06,4.97
"608",0.61,"Good","I","VS2",63.7,60,1239,5.34,5.28,3.38
"609",0.3,"Ideal","H","SI1",62.9,57,540,4.31,4.28,2.7
"610",0.5,"Very Good","E","SI2",61.6,58,1235,5.08,5.11,3.14
"611",0.31,"Ideal","H","VS2",61,57,507,4.38,4.41,2.68
"612",0.25,"Very Good","D","VVS1",63.8,54,533,3.94,3.99,2.53
"613",1,"Ideal","G","VVS1",62.3,56,7644,6.4,6.29,3.95
"614",0.36,"Very Good","G","VS1",59.7,56,726,4.64,4.67,2.78
"615",1.54,"Good","J","I1",61.7,60,4492,7.26,7.32,4.5
"616",0.7,"Premium","E","SI1",58.6,60,2657,5.78,5.75,3.38
"617",0.71,"Ideal","G","SI1",60.5,56.4,2751,5.76,5.8,3.5
"618",2.04,"Very Good","I","VS2",61,61,16616,8.08,8.14,4.95
"619",1.04,"Very Good","H","I1",61.6,61,3203,6.45,6.47,3.98
"620",1,"Ideal","G","VS2",62.3,56,5824,6.38,6.36,3.97
"621",0.52,"Very Good","E","SI1",62.9,59,1389,5.12,5.15,3.23
"622",1,"Very Good","H","VVS1",63.5,60,6296,6.36,6.3,4.02
"623",1.16,"Premium","H","VS2",62.3,56,6202,6.77,6.68,4.19
"624",1.73,"Very Good","I","SI1",60.9,59,11554,7.71,7.68,4.69
"625",1.51,"Good","E","SI1",63.6,56,12490,7.34,7.23,4.63
"626",0.43,"Very Good","F","VS2",61.3,59,905,4.81,4.84,2.96
"627",1.01,"Good","F","VS2",62.5,62,6089,6.32,6.38,3.97
"628",1.08,"Premium","D","I1",61.9,60,2869,6.55,6.48,4.03
"629",2.01,"Ideal","I","SI1",62.4,54,12617,8.04,7.96,5
"630",0.52,"Very Good","E","VS2",62.8,55,1621,5.11,5.15,3.22
"631",0.51,"Ideal","G","VVS1",62.6,57,2111,5.14,5.08,3.2
"632",0.48,"Premium","H","SI1",61.9,58,990,5.04,5.01,3.11
"633",0.72,"Ideal","G","VVS2",62.4,57,3139,5.71,5.76,3.58
"634",1.23,"Ideal","E","SI2",61.2,55,6403,7.01,6.92,4.26
"635",0.71,"Ideal","H","VVS2",61.7,57,3371,5.68,5.73,3.53
"636",1,"Fair","J","VS2",65.7,59,2811,6.14,6.07,4.01
"637",0.94,"Very Good","H","SI2",62.7,61,3624,6.21,6.24,3.9
"638",0.92,"Premium","F","SI2",61.8,58,3854,6.19,6.23,3.84
"639",1.23,"Ideal","F","VS1",61.3,57,8523,6.86,6.93,4.23
"640",0.4,"Very Good","H","VS1",62.6,58,807,4.68,4.71,2.94
"641",1.01,"Good","J","SI1",62.8,58,3399,6.28,6.33,3.96
"642",0.7,"Ideal","E","VS2",62.8,57,2697,5.71,5.62,3.56
"643",0.85,"Ideal","E","SI1",62.8,56,3503,6.05,6.02,3.79
"644",0.38,"Premium","F","SI1",62.7,58,898,4.62,4.6,2.89
"645",0.5,"Premium","D","VS2",62.8,58,1758,5.03,5,3.15
"646",0.48,"Ideal","J","VS1",62.2,54,861,5.01,5.06,3.13
"647",1.4,"Very Good","G","VS1",59.9,56,11584,7.31,7.34,4.39
"648",1.04,"Ideal","F","SI1",61.3,56,5882,6.55,6.5,4
"649",0.8,"Ideal","E","SI1",61.9,55,4125,5.94,5.98,3.69
"650",0.7,"Fair","F","SI1",64.8,60,2167,5.57,5.54,3.6
"651",0.55,"Ideal","F","VS1",60.3,57,1682,5.32,5.37,3.23
"652",1.04,"Premium","D","IF",60.6,56,15671,6.6,6.54,3.98
"653",0.57,"Very Good","E","SI2",58.8,57.3,1384,5.42,5.46,3.21
"654",0.7,"Premium","D","VS2",61,60,2909,5.75,5.7,3.49
"655",1.01,"Good","F","SI1",63.6,58,4989,6.37,6.31,4.03
"656",0.35,"Ideal","F","VVS2",62.1,56,956,4.56,4.52,2.82
"657",1.18,"Very Good","G","SI2",62.4,56,5562,6.8,6.83,4.25
"658",1.31,"Premium","H","SI1",62.4,58,7527,7.02,6.96,4.36
"659",0.3,"Ideal","E","VS2",62.3,56,603,4.27,4.3,2.67
"660",0.44,"Very Good","E","VS2",60.3,58,987,4.9,4.92,2.96
"661",0.32,"Ideal","F","IF",61.9,55,915,4.38,4.44,2.73
"662",0.23,"Very Good","F","VVS2",60.3,58,530,3.99,4.03,2.42
"663",0.36,"Premium","I","VS1",60.3,60,729,4.64,4.58,2.78
"664",1.01,"Ideal","H","SI1",62.4,53,4559,6.42,6.47,4.02
"665",0.54,"Ideal","H","SI1",60.6,57,1291,5.28,5.32,3.21
"666",0.3,"Ideal","D","SI1",61,56,552,4.3,4.33,2.63
"667",0.31,"Premium","F","VS2",62.3,59,802,4.34,4.29,2.69
"668",0.3,"Ideal","E","VVS2",61.8,56,789,4.31,4.33,2.67
"669",1.01,"Very Good","F","SI2",63.2,58,4299,6.43,6.3,4.02
"670",1.14,"Very Good","E","SI2",60,54,5593,6.74,6.97,4.11
"671",1.14,"Premium","H","SI2",60.6,59,4788,6.8,6.77,4.11
"672",0.53,"Ideal","G","VS1",62.1,57,1813,5.18,5.16,3.21
"673",1.51,"Premium","I","VS2",60.5,59,9682,7.44,7.41,4.49
"674",0.4,"Very Good","F","SI1",62.2,57,737,4.67,4.72,2.92
"675",1,"Fair","F","VS1",65.3,56,5833,6.28,6.25,4.09
"676",0.31,"Premium","D","VS1",59.6,58,683,4.38,4.41,2.62
"677",0.36,"Ideal","D","VS2",60.6,57,852,4.57,4.61,2.78
"678",1.01,"Premium","H","SI1",62.2,54,4707,6.48,6.41,4.01
"679",0.9,"Good","G","VS2",60.4,61,4547,6.23,6.32,3.79
"680",1.09,"Very Good","D","IF",61.7,58,18231,6.55,6.65,4.07
"681",1.1,"Ideal","G","VS1",61.5,57,6984,6.62,6.65,4.08
"682",1,"Good","F","VS2",64,59,5864,6.29,6.25,4.03
"683",2.02,"Fair","G","I1",65.6,57,6346,7.87,7.8,5.15
"684",0.34,"Premium","I","SI1",60,58,589,4.55,4.51,2.72
"685",0.32,"Good","F","VS2",63.6,57,828,4.37,4.34,2.77
"686",0.32,"Ideal","D","SI1",62.7,54,756,4.39,4.35,2.74
"687",1.51,"Premium","H","VS1",62.4,60,10939,7.34,7.27,4.56
"688",0.32,"Ideal","G","SI1",63,56,612,4.38,4.35,2.75
"689",0.66,"Very Good","F","SI2",61.6,54,1311,5.62,5.64,3.47
"690",0.7,"Ideal","F","VVS2",61.2,56,4114,5.73,5.78,3.52
"691",0.51,"Ideal","F","VS1",62.5,55,1836,5.13,5.08,3.19
"692",0.6,"Very Good","G","SI1",63.1,57,1565,5.32,5.41,3.39
"693",1,"Very Good","G","VVS2",62.3,58,7528,6.39,6.45,4
"694",0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
"695",0.41,"Very Good","G","SI1",62.9,56,719,4.7,4.75,2.97
"696",0.9,"Very Good","I","SI1",61.7,58,3274,6.17,6.21,3.82
"697",0.5,"Good","E","SI1",63.3,59,1316,4.99,5.03,3.17
"698",0.54,"Ideal","G","SI1",62.5,56,1314,5.2,5.24,3.26
"699",1.05,"Very Good","H","SI1",63.5,57,4692,6.47,6.44,4.1
"700",0.34,"Ideal","E","VS1",61,57,805,4.49,4.52,2.75
"701",1.24,"Very Good","H","SI1",60.8,60,7050,6.9,6.94,4.21
"702",0.41,"Ideal","F","VS2",61.8,56,863,4.78,4.8,2.96
"703",1.04,"Very Good","D","SI1",58.9,58,6138,6.66,6.69,3.93
"704",0.35,"Good","J","SI1",63.3,56,409,4.5,4.53,2.86
"705",1.31,"Ideal","F","SI1",62.4,57,8227,6.96,6.88,4.32
"706",0.5,"Ideal","H","SI2",62.4,55,964,5.09,5.11,3.18
"707",1.01,"Very Good","D","SI1",63.3,57,5622,6.33,6.37,4.02
"708",0.5,"Very Good","H","VS2",62.3,58,1302,5.05,5.12,3.17
"709",0.31,"Ideal","E","VVS1",61.4,55,865,4.35,4.38,2.68
"710",0.34,"Ideal","E","VVS2",62.3,57,1071,4.48,4.44,2.78
"711",0.32,"Ideal","H","SI2",60.9,56,434,4.41,4.45,2.7
"712",0.51,"Very Good","E","VS2",63.5,57,1638,5.09,5.05,3.22
"713",0.31,"Ideal","G","VS2",61.4,57,544,4.33,4.37,2.67
